Date,High,Low,Open,Close,Volume,Adj Close,coin,rank
2021-05-15,35.28882598876953,30.86281967163086,33.37284851074219,31.210163116455078,223898469,31.210163116455078,WAVES,20
2021-05-16,33.53419876098633,28.648799896240234,31.190547943115234,30.470176696777344,161458672,30.470176696777344,WAVES,20
2021-05-17,30.459871292114258,26.30802345275879,30.459871292114258,27.02025032043457,164327763,27.02025032043457,WAVES,20
2021-05-18,29.127262115478516,26.76955795288086,27.003585815429688,27.665834426879883,139316474,27.665834426879883,WAVES,20
2021-05-19,28.028682708740234,14.341765403747559,27.661794662475586,18.44609260559082,288840483,18.44609260559082,WAVES,20
2021-05-20,28.099868774414062,18.283456802368164,18.283456802368164,24.35972785949707,560070064,24.35972785949707,WAVES,20
2021-05-21,26.22718620300293,17.871501922607422,24.3206729888916,20.69123077392578,253750409,20.69123077392578,WAVES,20
2021-05-22,20.79877471923828,17.354461669921875,20.725440979003906,17.977264404296875,170717043,17.977264404296875,WAVES,20
2021-05-23,19.09912109375,11.888381004333496,17.981292724609375,14.819433212280273,239714984,14.819433212280273,WAVES,20
2021-05-24,17.479751586914062,14.118806838989258,14.788908958435059,17.42287254333496,250970104,17.42287254333496,WAVES,20
2021-05-25,17.94438934326172,13.894657135009766,17.39127540588379,16.213550567626953,371887184,16.213550567626953,WAVES,20
2021-05-26,17.30047035217285,15.220911026000977,16.177099227905273,17.30047035217285,290841377,17.30047035217285,WAVES,20
2021-05-27,17.4055233001709,15.520819664001465,17.4055233001709,16.39887046813965,151996006,16.39887046813965,WAVES,20
2021-05-28,16.513362884521484,13.467142105102539,16.513362884521484,14.068902015686035,162062799,14.068902015686035,WAVES,20
2021-05-29,14.35859203338623,12.32820987701416,14.041988372802734,13.121430397033691,118902148,13.121430397033691,WAVES,20
2021-05-30,13.462015151977539,12.040145874023438,13.114008903503418,13.199346542358398,130963153,13.199346542358398,WAVES,20
2021-05-31,13.912984848022461,12.158597946166992,13.309427261352539,13.912984848022461,143254263,13.912984848022461,WAVES,20
2021-06-01,13.904335021972656,12.711572647094727,13.859248161315918,13.213631629943848,114897990,13.213631629943848,WAVES,20
2021-06-02,15.469968795776367,12.841636657714844,13.221982955932617,14.66172981262207,252067358,14.66172981262207,WAVES,20
2021-06-03,15.690645217895508,14.249555587768555,14.735708236694336,15.316332817077637,187964073,15.316332817077637,WAVES,20
2021-06-04,15.326671600341797,13.150385856628418,15.325457572937012,13.881905555725098,148849808,13.881905555725098,WAVES,20
2021-06-05,15.597758293151855,13.640275955200195,13.885151863098145,14.132243156433105,199443323,14.132243156433105,WAVES,20
2021-06-06,16.669076919555664,13.944414138793945,14.12606430053711,16.4122371673584,409759350,16.4122371673584,WAVES,20
2021-06-07,16.68155288696289,13.99594497680664,16.31289291381836,14.195172309875488,192264015,14.195172309875488,WAVES,20
2021-06-08,14.571483612060547,12.836179733276367,14.206329345703125,14.47344970703125,195842918,14.47344970703125,WAVES,20
2021-06-09,14.618053436279297,13.466877937316895,14.443062782287598,14.605301856994629,147136997,14.605301856994629,WAVES,20
2021-06-10,14.628142356872559,13.788023948669434,14.598160743713379,14.02790641784668,101686046,14.02790641784668,WAVES,20
2021-06-11,15.42012882232666,13.676092147827148,14.037878036499023,14.015607833862305,151939112,14.015607833862305,WAVES,20
2021-06-12,15.450206756591797,13.28187084197998,14.062972068786621,14.617831230163574,211742139,14.617831230163574,WAVES,20
2021-06-13,15.37889575958252,14.12982177734375,14.644391059875488,15.177042007446289,120293964,15.177042007446289,WAVES,20
2021-06-14,15.899079322814941,14.846942901611328,15.179727554321289,15.258724212646484,116219750,15.258724212646484,WAVES,20
2021-06-15,16.850658416748047,15.583045959472656,15.674062728881836,16.07939338684082,115636654,16.07939338684082,WAVES,20
2021-06-16,17.542400360107422,16.07752227783203,16.582618713378906,16.96607780456543,206165404,16.96607780456543,WAVES,20
2021-06-17,18.95465660095215,16.783340454101562,16.909183502197266,18.346010208129883,243986875,18.346010208129883,WAVES,20
2021-06-18,18.368541717529297,15.777775764465332,18.363473892211914,16.428831100463867,169135338,16.428831100463867,WAVES,20
2021-06-19,16.663625717163086,15.489582061767578,16.466083526611328,15.962780952453613,101269887,15.962780952453613,WAVES,20
2021-06-20,18.382038116455078,15.697772979736328,15.879244804382324,17.632587432861328,265710112,17.632587432861328,WAVES,20
2021-06-21,17.877981185913086,13.761007308959961,17.79252815246582,14.000168800354004,183891118,14.000168800354004,WAVES,20
2021-06-22,14.588930130004883,11.462654113769531,13.970243453979492,12.476038932800293,198501311,12.476038932800293,WAVES,20
2021-06-23,13.731060981750488,11.932025909423828,12.482786178588867,13.022223472595215,183512278,13.022223472595215,WAVES,20
2021-06-24,13.55040168762207,12.478669166564941,13.109198570251465,13.505898475646973,134181124,13.505898475646973,WAVES,20
2021-06-25,14.39574146270752,12.484519958496094,13.529134750366211,13.000377655029297,221332990,13.000377655029297,WAVES,20
2021-06-26,13.880078315734863,12.812178611755371,13.006416320800781,13.574234962463379,138967365,13.574234962463379,WAVES,20
2021-06-27,13.903783798217773,13.160843849182129,13.582402229309082,13.880934715270996,96559144,13.880934715270996,WAVES,20
2021-06-28,14.300971031188965,13.548497200012207,13.86617374420166,14.115152359008789,101790882,14.115152359008789,WAVES,20
2021-06-29,15.875982284545898,14.066963195800781,14.137125968933105,15.370558738708496,122298855,15.370558738708496,WAVES,20
2021-06-30,17.7073974609375,15.051615715026855,15.400124549865723,16.34296989440918,306350334,16.34296989440918,WAVES,20
2021-07-01,16.331995010375977,14.967719078063965,16.331995010375977,15.896645545959473,154068411,15.896645545959473,WAVES,20
2021-07-02,16.25477409362793,15.199387550354004,15.870503425598145,16.05573272705078,101232567,16.05573272705078,WAVES,20
2021-07-03,16.502685546875,15.803321838378906,16.084741592407227,16.171573638916016,67608719,16.171573638916016,WAVES,20
2021-07-04,17.84263038635254,15.6195068359375,16.177169799804688,16.886676788330078,149684101,16.886676788330078,WAVES,20
2021-07-05,17.201749801635742,15.732894897460938,16.89737319946289,15.971680641174316,114238266,15.971680641174316,WAVES,20
2021-07-06,16.799013137817383,15.972597122192383,15.987075805664062,16.194414138793945,98178564,16.194414138793945,WAVES,20
2021-07-07,17.36566162109375,16.12833023071289,16.199012756347656,16.506729125976562,127898506,16.506729125976562,WAVES,20
2021-07-08,16.597848892211914,14.659818649291992,16.556127548217773,14.866121292114258,96633550,14.866121292114258,WAVES,20
2021-07-09,15.148303031921387,14.177274703979492,14.782705307006836,14.996265411376953,91652925,14.996265411376953,WAVES,20
